,title,rank,date,artist,url,region,chart,trend,streams
33,24K Magic,34,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Argentina,top200,MOVE_DOWN,58801.0
34,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",35,2017-01-01,Justin Timberlake,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Argentina,top200,MOVE_UP,56170.0
35,Fuego,36,2017-01-01,Juanes,https://open.spotify.com/track/0mwPE0lPOgnWf2bo14xedJ,Argentina,top200,MOVE_UP,55902.0
36,Bobo,37,2017-01-01,J Balvin,https://open.spotify.com/track/7AtlMCIauSQZqiXSlbBPW6,Argentina,top200,MOVE_UP,55360.0
37,In the Name of Love,38,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Argentina,top200,MOVE_DOWN,54980.0
38,Tu Ritmo,39,2017-01-01,Los Bonnitos,https://open.spotify.com/track/0BFgCEE7ozbyB1PpLpLyhM,Argentina,top200,MOVE_UP,54081.0
39,I Took A Pill In Ibiza - Seeb Remix,40,2017-01-01,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,Argentina,top200,MOVE_DOWN,53270.0
40,Ya Me Enteré (feat. Nicky Jam) - Urban Version,41,2017-01-01,Reik,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F,Argentina,top200,MOVE_DOWN,52907.0
41,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],42,2017-01-01,Ozuna,https://open.spotify.com/track/4vlbjBSMqycZk6t4HVRpnC,Argentina,top200,MOVE_DOWN,52670.0
42,Te Quiero Pa´Mi,43,2017-01-01,"Don Omar, Zion & Lennox",https://open.spotify.com/track/3BY2mafsbsoKGqS380Xnuz,Argentina,top200,MOVE_DOWN,51352.0
43,Sin Contrato (feat. Fifth Harmony),44,2017-01-01,Maluma,https://open.spotify.com/track/09S64DUkxIX9EwIaULu6yN,Argentina,top200,MOVE_UP,51115.0
44,Picky,45,2017-01-01,Joey Montana,https://open.spotify.com/track/4tPL9PeVZY4c0jUPtSD5nx,Argentina,top200,MOVE_UP,51113.0
45,Work,46,2017-01-01,"Rihanna, Drake",https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,Argentina,top200,MOVE_DOWN,50655.0
46,Noche Loca,47,2017-01-01,"Marama, Rombai",https://open.spotify.com/track/0gzcET27nREY6aD8LJU9wD,Argentina,top200,MOVE_UP,49100.0
47,Don't Let Me Down (feat. Daya),48,2017-01-01,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,Argentina,top200,MOVE_DOWN,48767.0
48,Hasta el Amanecer,49,2017-01-01,Nicky Jam,https://open.spotify.com/track/5Fim1gaXBgsiFfsQAfQSDS,Argentina,top200,MOVE_UP,47672.0
49,Le Hace Falta un Beso,50,2017-01-01,Agapornis,https://open.spotify.com/track/300xUYXWhFA6Q1sbNvVItP,Argentina,top200,MOVE_UP,45251.0
50,Cake By The Ocean,51,2017-01-01,DNCE,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl,Argentina,top200,SAME_POSITION,44524.0
51,Chillax (feat. Ky-Mani Marley),52,2017-01-01,Farruko,https://open.spotify.com/track/1lxswgIpzV6HhENRvkflES,Argentina,top200,MOVE_DOWN,44495.0
52,Loquita,53,2017-01-01,Marama,https://open.spotify.com/track/2xjcDF21U2ccgE2LEeiMbf,Argentina,top200,MOVE_UP,43894.0
53,Te Vas,54,2017-01-01,Ozuna,https://open.spotify.com/track/2twUPIYOTqVivev47pf7bU,Argentina,top200,MOVE_DOWN,43704.0
54,Closer,55,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Argentina,top200,MOVE_DOWN,43403.0
55,Locuras contigo,56,2017-01-01,Rombai,https://open.spotify.com/track/5jMvnSyOgGY8JpvHqeyVOg,Argentina,top200,MOVE_UP,43260.0
56,Treat You Better,57,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Argentina,top200,MOVE_DOWN,42815.0
57,Era Tranquila,58,2017-01-01,Marama,https://open.spotify.com/track/5OqaLWo9WbNPWDilrwNwzt,Argentina,top200,MOVE_UP,42785.0
58,Baila,59,2017-01-01,Agapornis,https://open.spotify.com/track/3iS4VBJ3Bg1HyL3e6WNpgi,Argentina,top200,SAME_POSITION,42127.0
59,Nena,60,2017-01-01,Marama,https://open.spotify.com/track/347TStOSY6IOqMB84Rpxwk,Argentina,top200,MOVE_UP,41737.0
60,Deja De Llorar,61,2017-01-01,El Polaco,https://open.spotify.com/track/3tddzXTgneWrkV2cYNUBZe,Argentina,top200,MOVE_UP,40065.0
61,El Perdedor,62,2017-01-01,Maluma,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O,Argentina,top200,MOVE_DOWN,39691.0
62,Traicionera - Remix,63,2017-01-01,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",https://open.spotify.com/track/2webQDZmtGioeu3zUUi9We,Argentina,top200,MOVE_DOWN,37518.0
63,Yo te propongo,64,2017-01-01,Rombai,https://open.spotify.com/track/0YFoSD5VhoVrRbrnFERpVM,Argentina,top200,MOVE_UP,36808.0
64,El Perdedor (feat. Yandel) - The Remix,65,2017-01-01,Maluma,https://open.spotify.com/track/4QsPTKvdpgkA7mBAvclZTa,Argentina,top200,MOVE_DOWN,36510.0
65,Lo Intentamos,66,2017-01-01,Marama,https://open.spotify.com/track/4Kzk0koKwzCMiIx4rAqCZp,Argentina,top200,MOVE_UP,35965.0
66,Hasta la luna,67,2017-01-01,#TocoParaVos,https://open.spotify.com/track/1A3yLIqelu1D7MCtw06Cu7,Argentina,top200,MOVE_UP,35806.0
67,Comerte a Besos,68,2017-01-01,"Pijama Party, Cande Buasso",https://open.spotify.com/track/4UHZMWgKDjJ1zS0t6f6qPv,Argentina,top200,MOVE_DOWN,34879.0
68,La Mordidita (feat. Yotuel),69,2017-01-01,Ricky Martin,https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,Argentina,top200,MOVE_UP,34638.0
69,Ginza,70,2017-01-01,J Balvin,https://open.spotify.com/track/5N8nNuTmIzkZOfcxXlygUw,Argentina,top200,MOVE_UP,34542.0
70,Call On Me - Ryan Riback Extended Remix,71,2017-01-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Argentina,top200,MOVE_DOWN,33892.0
71,El Perdón,72,2017-01-01,"Nicky Jam, Enrique Iglesias",https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,Argentina,top200,MOVE_UP,33188.0
72,Pasarla Bien,73,2017-01-01,Marama,https://open.spotify.com/track/0ZzVPCGdkpKcxAzMNDD5UZ,Argentina,top200,MOVE_UP,33111.0
73,No Llores,74,2017-01-01,LOAN,https://open.spotify.com/track/07GOnZWIiHWjLzUsaTv5yO,Argentina,top200,MOVE_DOWN,32778.0
74,Would I Lie to You - Radio Edit,75,2017-01-01,"David Guetta, Cedric Gervais, Chris Willis",https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2,Argentina,top200,MOVE_DOWN,32198.0
75,I Feel It Coming,76,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Argentina,top200,MOVE_DOWN,30754.0
76,Baila Conmigo,77,2017-01-01,"Juan Magán, Luciana",https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,Argentina,top200,MOVE_UP,30623.0
77,Una Cerveza,78,2017-01-01,Rafaga,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,Argentina,top200,MOVE_UP,30368.0
78,Me Ama Me Odia,79,2017-01-01,"Ozuna, Cosculluela, Revol",https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv,Argentina,top200,MOVE_DOWN,29979.0
79,Just Hold On,80,2017-01-01,"Steve Aoki, Louis Tomlinson",https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,Argentina,top200,MOVE_DOWN,29609.0
80,Side To Side,81,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Argentina,top200,MOVE_DOWN,29228.0
81,Bailame Despacio,82,2017-01-01,"Xantos, Dynell",https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,Argentina,top200,MOVE_DOWN,28781.0
82,Todo Comenzó Bailando,83,2017-01-01,Marama,https://open.spotify.com/track/2rrWhFrcSZcZQ2SDKPGKQ6,Argentina,top200,MOVE_UP,28728.0
83,Cheap Thrills Remix (feat. Nicky Jam),84,2017-01-01,Sia,https://open.spotify.com/track/59iNA6gwthoTJ6IgpBGGHW,Argentina,top200,MOVE_UP,28288.0
84,Se Pone Loca,85,2017-01-01,"CantoParaBailar, Lucas Sugo",https://open.spotify.com/track/0FVuUna31PTRmWGLs8W1o4,Argentina,top200,MOVE_UP,27694.0
85,Cheap Thrills,86,2017-01-01,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,Argentina,top200,MOVE_DOWN,26885.0
86,Work from Home (feat. Ty Dolla $ign),87,2017-01-01,Fifth Harmony,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,Argentina,top200,MOVE_DOWN,26840.0
87,We Don't Talk Anymore (feat. Selena Gomez),88,2017-01-01,Charlie Puth,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,Argentina,top200,MOVE_DOWN,26777.0
88,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",89,2017-01-01,"Ozuna, Bad Bunny, Farruko, Ñengo Flow",https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1,Argentina,top200,MOVE_DOWN,25622.0
89,Pájaro Cantor,90,2017-01-01,Abel Pintos,https://open.spotify.com/track/16rQTTMtbn0ODLyflr0O6Q,Argentina,top200,MOVE_UP,25525.0
90,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,91,2017-01-01,Jacob Forever,https://open.spotify.com/track/6sMPwcpYtxm1mlgYbp1B0t,Argentina,top200,MOVE_UP,24999.0
91,Amor y dolor,92,2017-01-01,"Carlos Baute, Alexis y Fido",https://open.spotify.com/track/4efQTJSX6Jca1hHZNi74Zd,Argentina,top200,MOVE_DOWN,24874.0
92,Si Te Vas,93,2017-01-01,Agapornis,https://open.spotify.com/track/3HoTiqEEY2SmTeq1XGINo3,Argentina,top200,MOVE_UP,24819.0
93,Papi Shampu,94,2017-01-01,Papichamp,https://open.spotify.com/track/0o221VNm4azkzYYLtxDGgV,Argentina,top200,MOVE_UP,24369.0
94,Ruleta Rusa,95,2017-01-01,Kevin Roldan,https://open.spotify.com/track/77KHmKnBmVGTjRCeMVXpWH,Argentina,top200,MOVE_DOWN,24358.0
95,Dale Tu Amor (feat. El Polaco),96,2017-01-01,Agapornis,https://open.spotify.com/track/3W9HjL7lmbYXL4kQ1kicH3,Argentina,top200,MOVE_UP,24345.0
96,Me Reclama,97,2017-01-01,"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",https://open.spotify.com/track/4ojwGTehgBRAg52jbFgzJg,Argentina,top200,MOVE_DOWN,24260.0
97,Márchate ahora,98,2017-01-01,Los Totora,https://open.spotify.com/track/3voxukrHBXctzxdSbCycey,Argentina,top200,MOVE_UP,24133.0
98,Bronceado,99,2017-01-01,Marama,https://open.spotify.com/track/4smbzhaRt7EYwO73SmFXyR,Argentina,top200,MOVE_UP,24077.0
99,Te Vas - Version Cumbia,100,2017-01-01,"aLee DJ, Zeta Music",https://open.spotify.com/track/0j8zA8KrITjLVoAm3H3X6u,Argentina,top200,MOVE_UP,23981.0
100,Bailando - Spanish Version,101,2017-01-01,"Enrique Iglesias, Descemer Bueno, Gente De Zona",https://open.spotify.com/track/32lm3769IRfcnrQV11LO4E,Argentina,top200,MOVE_UP,23646.0
101,Llegaste tú (feat. Reykon),102,2017-01-01,Sofía Reyes,https://open.spotify.com/track/79Bm3DTEYuQsDpUVHbSRsL,Argentina,top200,MOVE_DOWN,23181.0
102,Corazon De Seda (feat. Ozuna),155,2017-01-01,Klasico,https://open.spotify.com/track/0uRHot8ml8U8cYVwwzMwNT,Argentina,top200,MOVE_DOWN,18065.0
103,Por Fin Te Encontré,103,2017-01-01,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",https://open.spotify.com/track/3GpvoKKWZyTwgbLEM9RmWM,Argentina,top200,SAME_POSITION,23178.0
104,Fuiste,104,2017-01-01,Gilda,https://open.spotify.com/track/3jxP1S0xXvPBry3scDZj6h,Argentina,top200,NEW_ENTRY,23090.0
105,No Me Arrepiento de Este Amor,105,2017-01-01,Gilda,https://open.spotify.com/track/6Bj9aK0jTMmjUp1y4Z7SVz,Argentina,top200,NEW_ENTRY,23046.0
106,Encantadora (feat. Farruko & Zion & Lennox) - Remix,106,2017-01-01,"Yandel, Egbert Rosa aka Haze",https://open.spotify.com/track/0EpFfFZpCuqYFzHvxOtrZS,Argentina,top200,MOVE_DOWN,22948.0
107,Si Te Dejas Llevar (feat. Juanka),107,2017-01-01,Ozuna,https://open.spotify.com/track/7rDi4fIeHSM3KAUYAKYMMN,Argentina,top200,MOVE_DOWN,22878.0
108,Sola Otra Vez,108,2017-01-01,El Polaco,https://open.spotify.com/track/1zwH02KhFWC4wOtiZ1We1g,Argentina,top200,MOVE_UP,22560.0
109,Curiosidad,109,2017-01-01,Rombai,https://open.spotify.com/track/4PCVVIrUDldF5r7RXtOB5W,Argentina,top200,MOVE_UP,22396.0
110,Te Amo y Odio,110,2017-01-01,Marama,https://open.spotify.com/track/5TA9pPL5ATRFcyI9rRBMQ0,Argentina,top200,MOVE_UP,22073.0
111,The Greatest (feat. Kendrick Lamar),111,2017-01-01,Sia,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,Argentina,top200,MOVE_DOWN,22060.0
112,Ride,112,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,Argentina,top200,MOVE_DOWN,22015.0
113,Mi tesoro (feat. Nicky Jam),113,2017-01-01,Zion & Lennox,https://open.spotify.com/track/5HABnFSYvl6mTmg8nSdzHa,Argentina,top200,MOVE_DOWN,21803.0
114,743,114,2017-01-01,Miranda!,https://open.spotify.com/track/08WLghN4UZFMGN532uvako,Argentina,top200,SAME_POSITION,21584.0
115,Dame la Mano,115,2017-01-01,Los Bonnitos,https://open.spotify.com/track/2zrcunkMh2pG74NKLQagf7,Argentina,top200,MOVE_UP,21405.0
116,Love Yourself,116,2017-01-01,Justin Bieber,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,Argentina,top200,MOVE_DOWN,21354.0
117,Una historia,117,2017-01-01,#TocoParaVos,https://open.spotify.com/track/6Ol4gn2vFyn4dckha1fGaN,Argentina,top200,MOVE_UP,21108.0
118,La Llave,118,2017-01-01,Agapornis,https://open.spotify.com/track/1v78qANb9b176fgEzR2eaW,Argentina,top200,MOVE_UP,20952.0
119,De Pies A Cabeza,119,2017-01-01,"Maná, Nicky Jam",https://open.spotify.com/track/2CkHE54EH44Qj945ynQRw7,Argentina,top200,MOVE_DOWN,20942.0
120,Me Estoy Enamorando,120,2017-01-01,Agapornis,https://open.spotify.com/track/0mX14Kpe4VTYmkqRgGslT5,Argentina,top200,MOVE_UP,20900.0
121,Ella,121,2017-01-01,Agapornis,https://open.spotify.com/track/6LxbbZYulsV3tCZvKpJgSh,Argentina,top200,SAME_POSITION,20643.0
122,This Is What You Came For (feat. Rihanna),122,2017-01-01,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,Argentina,top200,MOVE_DOWN,20349.0
123,Andas En Mi Cabeza - Remix,123,2017-01-01,"Chino & Nacho, Daddy Yankee, Don Omar, Wisin",https://open.spotify.com/track/733ybNEEEXHYxfk8sK6MRO,Argentina,top200,MOVE_DOWN,20121.0
124,This Girl (Kungs Vs. Cookin' On 3 Burners),124,2017-01-01,Kungs,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,Argentina,top200,MOVE_DOWN,19920.0
125,Yo Tomo Licor,125,2017-01-01,Amar Azul,https://open.spotify.com/track/5EHRc2WJASyZg3alJqsbqU,Argentina,top200,NEW_ENTRY,19889.0
126,Hoy,126,2017-01-01,Agapornis,https://open.spotify.com/track/11aJTEmPwKKoKRTpsudE1H,Argentina,top200,MOVE_UP,19864.0
127,Sorry,127,2017-01-01,Justin Bieber,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,Argentina,top200,MOVE_DOWN,19775.0
128,No Te Vayas,128,2017-01-01,Marama,https://open.spotify.com/track/6lip7aGS7oXloGk1XFCqWH,Argentina,top200,MOVE_UP,19753.0
129,Un Beso,129,2017-01-01,"Danny Paz, El Villano",https://open.spotify.com/track/0mDYDLR1KToBR4plxAj4O4,Argentina,top200,MOVE_UP,19697.0
130,Hoy Acá en el Baile (Cara de Gitana) - Versión el Pepo,130,2017-01-01,El Pepo,https://open.spotify.com/track/74onbSJ49kgKFGrwUwY9oC,Argentina,top200,NEW_ENTRY,19577.0
131,Fanática Sensual,131,2017-01-01,Plan B,https://open.spotify.com/track/1BygxKyZjq2xjQiFMkSFGp,Argentina,top200,MOVE_UP,19523.0
132,Trumpets,132,2017-01-01,"Sak Noel & Salvi, Sean Paul",https://open.spotify.com/track/5dH7o4TP3HYLvCjo4QAhhv,Argentina,top200,MOVE_DOWN,19427.0
133,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",133,2017-01-01,Anuel AA,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,Argentina,top200,MOVE_DOWN,19335.0
134,Heathens,134,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Argentina,top200,MOVE_DOWN,19334.0
135,Ocho Cuarenta,135,2017-01-01,Rodrigo,https://open.spotify.com/track/6jDx3MNG0yJdrvEBZohKBE,Argentina,top200,NEW_ENTRY,19319.0
136,El Taxi,136,2017-01-01,"Pitbull, Sensato, Osmani Garcia ""La Voz""",https://open.spotify.com/track/501PoxE6Qti2ekECimQeXK,Argentina,top200,NEW_ENTRY,19272.0
137,The Mack,137,2017-01-01,"Nevada, Mark Morrison, Fetty Wap",https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,Argentina,top200,MOVE_DOWN,19192.0
138,Que Bonito,138,2017-01-01,Banda XXI,https://open.spotify.com/track/3XmpHN0jwCV1unk8ygs1Ku,Argentina,top200,NEW_ENTRY,19093.0
139,El chisme,139,2017-01-01,Reykon,https://open.spotify.com/track/4VXejnj5WgM6H72ct2fSgQ,Argentina,top200,MOVE_DOWN,18931.0
140,Hymn for the Weekend - Seeb Remix,140,2017-01-01,Coldplay,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,Argentina,top200,MOVE_DOWN,18823.0
141,Acércate (feat. Nicky Jam) - Remix,141,2017-01-01,De La Ghetto,https://open.spotify.com/track/35OC6rMxa8lJi8eDiUVShS,Argentina,top200,MOVE_DOWN,18810.0
142,Si ella quisiera,142,2017-01-01,Justin Quiles,https://open.spotify.com/track/7cIkMEpDhT7Vpw1FHOQqKC,Argentina,top200,MOVE_DOWN,18769.0
143,El Bombón,143,2017-01-01,Los Palmeras,https://open.spotify.com/track/68drjp77R32xEkzP1vxlF6,Argentina,top200,NEW_ENTRY,18741.0
144,Hello,144,2017-01-01,"KAROL G, Ozuna",https://open.spotify.com/track/1PGENMzwUy16wlpZiuLS65,Argentina,top200,MOVE_DOWN,18555.0
145,Cuando Me Enamoro,145,2017-01-01,Banda XXI,https://open.spotify.com/track/7IUFDlflcQjHNxg8H0us34,Argentina,top200,NEW_ENTRY,18527.0
146,Yo tambien,146,2017-01-01,Rombai,https://open.spotify.com/track/1EK5Sm4E09P1lcdyKsygoV,Argentina,top200,MOVE_UP,18433.0
147,Soy Cordobes,147,2017-01-01,Rodrigo,https://open.spotify.com/track/5wG4J1UECH0c42YhMhSkcS,Argentina,top200,NEW_ENTRY,18428.0
148,Linda,148,2017-01-01,Marka Akme,https://open.spotify.com/track/5L4iwTXzuuWcV0m0sEDrgj,Argentina,top200,MOVE_UP,18284.0
149,Nunca me Faltes,149,2017-01-01,Antonio Rios,https://open.spotify.com/track/3YCcsuRdJArE4rsAG5V3sW,Argentina,top200,NEW_ENTRY,18253.0
150,Segundas Intenciones,150,2017-01-01,Rombai,https://open.spotify.com/track/1y2jGfgALBBNZL6tXPI2Ke,Argentina,top200,MOVE_UP,18247.0
151,La Ventanita,151,2017-01-01,Grupo Sombras,https://open.spotify.com/track/2dfnK7rHRibkQR93iZn7Z2,Argentina,top200,NEW_ENTRY,18237.0
152,Chica Real,152,2017-01-01,El Villano,https://open.spotify.com/track/0KrNNpgu7qGQPNQAQBLGwX,Argentina,top200,MOVE_UP,18209.0
153,Pierde Los Modales,153,2017-01-01,"J Balvin, Daddy Yankee",https://open.spotify.com/track/4r3itKA9HEJo48RG65OEnt,Argentina,top200,MOVE_DOWN,18126.0
154,Una Cita - Remix,154,2017-01-01,"Alkilados, Nicky Jam, J Alvarez, El Roockie",https://open.spotify.com/track/6v3QCw4ca5cR4VkzpG0PHy,Argentina,top200,MOVE_DOWN,18103.0
155,743,88,2017-01-02,Miranda!,https://open.spotify.com/track/08WLghN4UZFMGN532uvako,Argentina,top200,MOVE_UP,20351.0
156,Olvídala,156,2017-01-01,Banda XXI,https://open.spotify.com/track/1cJNFxiyjh8Ooqg5U4752G,Argentina,top200,NEW_ENTRY,17636.0
